TranscriptID	GeneID	ProteinID	Description
XM_006567763.3	LOC408846	XP_006567826.2	PREDICTED:_Apis_mellifera_tyrosine-protein_phosphatase_non-receptor_type_14_(LOC408846)
XM_006567771.3	LOC408845	XP_006567834.1	PREDICTED:_Apis_mellifera_protein_unc-79_homolog_(LOC408845)
XM_006567774.3	LOC408844	XP_006567837.2	PREDICTED:_Apis_mellifera_dual_specificity_protein_phosphatase_10_(LOC408844)
XM_006567775.3	LOC724743	XP_006567838.1	PREDICTED:_Apis_mellifera_PRKC_apoptosis_WT1_regulator_protein_(LOC724743)
XM_006567776.3	LOC724743	XP_006567839.1	PREDICTED:_Apis_mellifera_PRKC_apoptosis_WT1_regulator_protein_(LOC724743)
XM_006567777.3	LOC724743	XP_006567840.1	PREDICTED:_Apis_mellifera_PRKC_apoptosis_WT1_regulator_protein_(LOC724743)
XM_006567778.3	LOC724743	XP_006567841.1	PREDICTED:_Apis_mellifera_PRKC_apoptosis_WT1_regulator_protein_(LOC724743)
XM_006567779.3	LOC724743	XP_006567842.1	PREDICTED:_Apis_mellifera_PRKC_apoptosis_WT1_regulator_protein_(LOC724743)
XM_006567780.3	LOC724743	XP_006567843.1	PREDICTED:_Apis_mellifera_PRKC_apoptosis_WT1_regulator_protein_(LOC724743)
XM_006567781.3	LOC724743	XP_006567844.1	PREDICTED:_Apis_mellifera_PRKC_apoptosis_WT1_regulator_protein_(LOC724743)
XM_006567782.3	LOC411113	XP_006567845.1	PREDICTED:_Apis_mellifera_solute_carrier_family_12_member_4_(LOC411113)
XM_006567783.3	LOC411113	XP_006567846.1	PREDICTED:_Apis_mellifera_solute_carrier_family_12_member_4_(LOC411113)
XM_006567784.3	LOC411113	XP_006567847.1	PREDICTED:_Apis_mellifera_solute_carrier_family_12_member_4_(LOC411113)
XM_006567785.3	LOC411113	XP_006567848.1	PREDICTED:_Apis_mellifera_solute_carrier_family_12_member_4_(LOC411113)
XM_006567786.3	LOC411113	XP_006567849.1	PREDICTED:_Apis_mellifera_solute_carrier_family_12_member_4_(LOC411113)
XM_006567789.3	LOC100579007	XP_006567852.3	PREDICTED:_Apis_mellifera_tetratricopeptide_repeat_protein_25_(LOC100579007),_mRNA
XM_006567792.3	LOC100576965	XP_006567855.1	PREDICTED:_Apis_mellifera_uncharacterized_LOC100576965_(LOC100576965)
XM_006567793.3	LOC100576965	XP_006567856.1	PREDICTED:_Apis_mellifera_uncharacterized_LOC100576965_(LOC100576965)
XM_006567796.3	LOC100577335	XP_006567859.1	PREDICTED:_Apis_mellifera_protein_rolling_stone_(LOC100577335)
XM_006567797.3	LOC100577376	XP_006567860.1	PREDICTED:_Apis_mellifera_voltage-dependent_calcium_channel_subunit_alpha-2/delta-3-like_(LOC100577376)
XM_006567798.3	LOC408841	XP_006567861.1	PREDICTED:_Apis_mellifera_voltage-dependent_calcium_channel_subunit_alpha-2/delta-3_(LOC408841)
XM_006567799.3	LOC408841	XP_006567862.1	PREDICTED:_Apis_mellifera_voltage-dependent_calcium_channel_subunit_alpha-2/delta-3_(LOC408841)
XM_006567801.3	LOC724133	XP_006567864.2	PREDICTED:_Apis_mellifera_peptide_chain_release_factor_1_(LOC724133),_mRNA
XM_006567806.3	LOC411829	XP_006567869.1	PREDICTED:_Apis_mellifera_neuroglian_(LOC411829)
XM_006567813.2	LOC552805	XP_006567876.1	PREDICTED:_Apis_mellifera_protein_shifted_(LOC552805)
XM_006567816.3	LOC102656501	XP_006567879.1	PREDICTED:_Apis_mellifera_zinc_finger_protein_2_(LOC102656501),_mRNA
XM_006567817.3	LOC100577941	XP_006567880.1	PREDICTED:_Apis_mellifera_uncharacterized_LOC100577941_(LOC100577941)
XM_006567818.3	LOC100577941	XP_006567881.1	PREDICTED:_Apis_mellifera_uncharacterized_LOC100577941_(LOC100577941)
XM_006567820.3	LOC411099	XP_006567883.1	PREDICTED:_Apis_mellifera_protein_yippee-like_1_(LOC411099)
XM_006567821.3	LOC411099	XP_006567884.1	PREDICTED:_Apis_mellifera_protein_yippee-like_1_(LOC411099)
XM_006567827.3	LOC408839	XP_006567890.1	PREDICTED:_Apis_mellifera_uncharacterized_LOC408839_(LOC408839)
XM_006567829.3	LOC408839	XP_006567892.1	PREDICTED:_Apis_mellifera_uncharacterized_LOC408839_(LOC408839)
XM_006567830.3	LOC408839	XP_006567893.1	PREDICTED:_Apis_mellifera_uncharacterized_LOC408839_(LOC408839)
XM_006567832.3	LOC408839	XP_006567895.1	PREDICTED:_Apis_mellifera_uncharacterized_LOC408839_(LOC408839)
XM_006567833.3	LOC726682	XP_006567896.1	PREDICTED:_Apis_mellifera_A-kinase_anchor_protein_10,_mitochondrial_(LOC726682)
XM_006567834.2	LOC411103	XP_006567897.1	PREDICTED:_Apis_mellifera_putative_28S_ribosomal_protein_S5,_mitochondrial_(LOC411103)
XM_006567836.3	LOC411106	XP_006567899.1	PREDICTED:_Apis_mellifera_3'(2'),5'-bisphosphate_nucleotidase_1_(LOC411106)
XM_006567837.3	LOC411106	XP_006567900.1	PREDICTED:_Apis_mellifera_3'(2'),5'-bisphosphate_nucleotidase_1_(LOC411106)
XM_006567839.3	LOC411524	XP_006567902.2	PREDICTED:_Apis_mellifera_transmembrane_protein_179_(LOC411524)
XM_006567851.3	LOC411756	XP_006567914.2	PREDICTED:_Apis_mellifera_bromodomain_adjacent_to_zinc_finger_domain_protein_1A_(LOC411756)
XM_006567852.3	LOC411756	XP_006567915.2	PREDICTED:_Apis_mellifera_bromodomain_adjacent_to_zinc_finger_domain_protein_1A_(LOC411756)
XM_006567853.3	LOC411756	XP_006567916.2	PREDICTED:_Apis_mellifera_bromodomain_adjacent_to_zinc_finger_domain_protein_1A_(LOC411756)
XM_006567854.3	LOC411756	XP_006567917.2	PREDICTED:_Apis_mellifera_bromodomain_adjacent_to_zinc_finger_domain_protein_1A_(LOC411756)
XM_006567855.3	LOC411756	XP_006567918.2	PREDICTED:_Apis_mellifera_bromodomain_adjacent_to_zinc_finger_domain_protein_1A_(LOC411756)
XM_006567856.3	LOC411756	XP_006567919.2	PREDICTED:_Apis_mellifera_bromodomain_adjacent_to_zinc_finger_domain_protein_1A_(LOC411756)
XM_006567857.3	LOC411756	XP_006567920.2	PREDICTED:_Apis_mellifera_bromodomain_adjacent_to_zinc_finger_domain_protein_1A_(LOC411756)
XM_006567858.3	LOC411756	XP_006567921.2	PREDICTED:_Apis_mellifera_bromodomain_adjacent_to_zinc_finger_domain_protein_1A_(LOC411756)
XM_006567859.3	LOC411756	XP_006567922.2	PREDICTED:_Apis_mellifera_bromodomain_adjacent_to_zinc_finger_domain_protein_1A_(LOC411756)
XM_006567861.3	LOC411756	XP_006567924.2	PREDICTED:_Apis_mellifera_bromodomain_adjacent_to_zinc_finger_domain_protein_1A_(LOC411756)
XM_006567862.3	LOC409155	XP_006567925.2	PREDICTED:_Apis_mellifera_dihydrolipoyllysine-residue_succinyltransferase_component_of_2-oxoglutarate_dehydrogenase_complex,_mitochondrial_(LOC409155)
XM_006567863.2	LOC102656249	XP_006567926.1	PREDICTED:_Apis_mellifera_protein_HEXIM1_(LOC102656249),_mRNA
XM_006567864.3	LOC412593	XP_006567927.1	PREDICTED:_Apis_mellifera_DNA_damage-binding_protein_1_(LOC412593),_mRNA
XM_006567868.3	LOC551927	XP_006567931.2	PREDICTED:_Apis_mellifera_alcohol_dehydrogenase_[NADP(+)]_(LOC551927)
XM_006567869.3	LOC551903	XP_006567932.1	PREDICTED:_Apis_mellifera_DNA_replication_licensing_factor_Mcm5_(LOC551903)
XM_006567870.3	LOC551903	XP_006567933.1	PREDICTED:_Apis_mellifera_DNA_replication_licensing_factor_Mcm5_(LOC551903)
XM_006567871.3	LOC413451	XP_006567934.1	PREDICTED:_Apis_mellifera_rho_GTPase-activating_protein_gacF_(LOC413451)
XM_006567872.3	LOC100576667	XP_006567935.1	PREDICTED:_Apis_mellifera_E3_ubiquitin-protein_ligase_synoviolin_A_(LOC100576667)
XM_006567873.3	LOC100576667	XP_006567936.1	PREDICTED:_Apis_mellifera_E3_ubiquitin-protein_ligase_synoviolin_A_(LOC100576667)
XM_006567874.3	LOC100576667	XP_006567937.1	PREDICTED:_Apis_mellifera_E3_ubiquitin-protein_ligase_synoviolin_A_(LOC100576667)
XM_006567875.3	LOC410056	XP_006567938.1	PREDICTED:_Apis_mellifera_serine/threonine-protein_phosphatase_4_regulatory_subunit_3_(LOC410056)
XM_006567876.3	LOC410056	XP_006567939.1	PREDICTED:_Apis_mellifera_serine/threonine-protein_phosphatase_4_regulatory_subunit_3_(LOC410056)
XM_006567877.3	LOC100576859	XP_006567940.1	PREDICTED:_Apis_mellifera_cilia-_and_flagella-associated_protein_36_(LOC100576859),_mRNA
XM_006567878.3	LOC100576826	XP_006567941.1	PREDICTED:_Apis_mellifera_LHFPL_tetraspan_subfamily_member_5_protein_(LOC100576826)
XM_006567879.3	LOC100576826	XP_006567942.1	PREDICTED:_Apis_mellifera_LHFPL_tetraspan_subfamily_member_5_protein_(LOC100576826)
XM_006567887.3	LOC725834	XP_006567950.1	PREDICTED:_Apis_mellifera_septin-7_(LOC725834)
XM_006567888.3	LOC725834	XP_006567951.1	PREDICTED:_Apis_mellifera_septin-7_(LOC725834)
XM_006567889.3	LOC725834	XP_006567952.1	PREDICTED:_Apis_mellifera_septin-7_(LOC725834)
XM_006567892.3	LOC725834	XP_006567955.1	PREDICTED:_Apis_mellifera_septin-7_(LOC725834)
XM_006567893.3	LOC725834	XP_006567956.1	PREDICTED:_Apis_mellifera_septin-7_(LOC725834)
XM_006567894.3	LOC725834	XP_006567957.1	PREDICTED:_Apis_mellifera_septin-7_(LOC725834)
XM_006567896.3	LOC725796	XP_006567959.1	PREDICTED:_Apis_mellifera_lysophospholipase-like_protein_1_(LOC725796),_mRNA
XM_006567898.3	LOC413766	XP_006567961.1	PREDICTED:_Apis_mellifera_protein_suppressor_of_hairy_wing_(LOC413766)
XM_006567899.3	LOC413766	XP_006567962.1	PREDICTED:_Apis_mellifera_protein_suppressor_of_hairy_wing_(LOC413766)
XM_006567900.3	LOC725733	XP_006567963.2	PREDICTED:_Apis_mellifera_uncharacterized_protein_C14orf119_(LOC725733)
XM_006567901.3	LOC725733	XP_006567964.2	PREDICTED:_Apis_mellifera_uncharacterized_protein_C14orf119_(LOC725733)
XM_006567904.3	LOC412378	XP_006567967.1	PREDICTED:_Apis_mellifera_3'-5'_ssDNA/RNA_exonuclease_TatD_(LOC412378)
XM_006567905.3	LOC412378	XP_006567968.1	PREDICTED:_Apis_mellifera_3'-5'_ssDNA/RNA_exonuclease_TatD_(LOC412378)
XM_006567906.3	LOC412378	XP_006567969.1	PREDICTED:_Apis_mellifera_3'-5'_ssDNA/RNA_exonuclease_TatD_(LOC412378)
XM_006567907.3	LOC412378	XP_006567970.1	PREDICTED:_Apis_mellifera_3'-5'_ssDNA/RNA_exonuclease_TatD_(LOC412378)
XM_006567908.2	LOC552382	XP_006567971.1	PREDICTED:_Apis_mellifera_alpha-mannosidase_2_(LOC552382)
XM_006567909.3	LOC725628	XP_006567972.1	PREDICTED:_Apis_mellifera_N-alpha-acetyltransferase_40_(LOC725628)
XM_006567910.3	LOC409333	XP_006567973.1	PREDICTED:_Apis_mellifera_CAAX_prenyl_protease_2_(LOC409333)
XM_006567911.3	LOC411419	XP_006567974.1	PREDICTED:_Apis_mellifera_BTB/POZ_domain-containing_protein_KCTD3_(LOC411419)
XM_006567913.3	LOC552512	XP_006567976.2	PREDICTED:_Apis_mellifera_kinesin_3E_(LOC552512)
XM_006567914.3	LOC552512	XP_006567977.2	PREDICTED:_Apis_mellifera_kinesin_3E_(LOC552512)
XM_006567915.3	LOC552512	XP_006567978.2	PREDICTED:_Apis_mellifera_kinesin_3E_(LOC552512)
XM_006567916.3	LOC552512	XP_006567979.2	PREDICTED:_Apis_mellifera_kinesin_3E_(LOC552512)
XM_006567917.3	LOC552512	XP_006567980.2	PREDICTED:_Apis_mellifera_kinesin_3E_(LOC552512)
XM_006567922.3	LOC100577955	XP_006567985.2	PREDICTED:_Apis_mellifera_odorant_receptor_13a_(LOC100577955)
XM_006567937.3	LOC408602	XP_006568000.2	PREDICTED:_Apis_mellifera_MKL/myocardin-like_protein_2_(LOC408602)
XM_006567938.3	LOC408602	XP_006568001.2	PREDICTED:_Apis_mellifera_MKL/myocardin-like_protein_2_(LOC408602)
XM_006567939.3	LOC408602	XP_006568002.2	PREDICTED:_Apis_mellifera_MKL/myocardin-like_protein_2_(LOC408602)
XM_006567940.3	LOC408602	XP_006568003.2	PREDICTED:_Apis_mellifera_MKL/myocardin-like_protein_2_(LOC408602)
XM_006567941.3	LOC408601	XP_006568004.1	PREDICTED:_Apis_mellifera_aprataxin_(LOC408601),_mRNA
XM_006567943.3	LOC410732	XP_006568006.1	PREDICTED:_Apis_mellifera_3-phosphoinositide-dependent_protein_kinase_1_(LOC410732)
XM_006567945.3	LOC102653881	XP_006568008.2	PREDICTED:_Apis_mellifera_glucose_dehydrogenase_[FAD,_quinone]-like_(LOC102653881),_mRNA
XM_006567946.3	LOC410094	XP_006568009.1	PREDICTED:_Apis_mellifera_protein_RER1_(LOC410094)
XM_006567947.3	LOC410094	XP_006568010.1	PREDICTED:_Apis_mellifera_protein_RER1_(LOC410094)
XM_006567948.3	LOC410094	XP_006568011.1	PREDICTED:_Apis_mellifera_protein_RER1_(LOC410094)
XM_006567949.3	LOC410094	XP_006568012.1	PREDICTED:_Apis_mellifera_protein_RER1_(LOC410094)
XM_006567951.3	LOC412002	XP_006568014.1	PREDICTED:_Apis_mellifera_E3_ubiquitin-protein_ligase_Ubr3_(LOC412002)
XM_006567952.3	LOC412002	XP_006568015.1	PREDICTED:_Apis_mellifera_E3_ubiquitin-protein_ligase_Ubr3_(LOC412002)
XM_006567953.3	LOC551168	XP_006568016.1	PREDICTED:_Apis_mellifera_protein_sidekick_(LOC551168)
XM_006567954.3	LOC551168	XP_006568017.1	PREDICTED:_Apis_mellifera_protein_sidekick_(LOC551168)
XM_006567955.3	LOC551168	XP_006568018.1	PREDICTED:_Apis_mellifera_protein_sidekick_(LOC551168)
XM_006567956.3	LOC551168	XP_006568019.1	PREDICTED:_Apis_mellifera_protein_sidekick_(LOC551168)
XM_006567957.3	LOC551168	XP_006568020.1	PREDICTED:_Apis_mellifera_protein_sidekick_(LOC551168)
XM_006567958.2	LOC412177	XP_006568021.1	PREDICTED:_Apis_mellifera_4-aminobutyrate_aminotransferase,_mitochondrial_(LOC412177)
XM_006567960.3	LOC412256	XP_006568023.2	PREDICTED:_Apis_mellifera_nucleosome-remodeling_factor_subunit_NURF301_(LOC412256)
XM_006567961.3	LOC412256	XP_006568024.2	PREDICTED:_Apis_mellifera_nucleosome-remodeling_factor_subunit_NURF301_(LOC412256)
XM_006567962.3	LOC409404	XP_006568025.1	PREDICTED:_Apis_mellifera_aminoacyl_tRNA_synthetase_complex-interacting_multifunctional_protein_2-like_(LOC409404)
XM_006567963.3	LOC412265	XP_006568026.2	PREDICTED:_Apis_mellifera_uncharacterized_LOC412265_(LOC412265)
XM_006567964.3	LOC412265	XP_006568027.2	PREDICTED:_Apis_mellifera_uncharacterized_LOC412265_(LOC412265)
XM_006567965.2	LOC551478	XP_006568028.1	PREDICTED:_Apis_mellifera_mediator_of_RNA_polymerase_II_transcription_subunit_15_(LOC551478)
XM_006567966.3	LOC551478	XP_006568029.1	PREDICTED:_Apis_mellifera_mediator_of_RNA_polymerase_II_transcription_subunit_15_(LOC551478)
XM_006567968.3	LOC551538	XP_006568031.1	PREDICTED:_Apis_mellifera_lysine--tRNA_ligase_(LOC551538)
XM_006567971.3	LOC552021	XP_006568034.1	PREDICTED:_Apis_mellifera_intraflagellar_transport_protein_80_homolog_(LOC552021)
XM_006567974.3	LOC413791	XP_006568037.1	PREDICTED:_Apis_mellifera_TBC1_domain_family_member_24_(LOC413791)
XM_006567975.3	LOC413791	XP_006568038.1	PREDICTED:_Apis_mellifera_TBC1_domain_family_member_24_(LOC413791)
XM_006567976.3	LOC413791	XP_006568039.1	PREDICTED:_Apis_mellifera_TBC1_domain_family_member_24_(LOC413791)
XM_006567984.3	LOC413288	XP_006568047.1	PREDICTED:_Apis_mellifera_polycomb_protein_Pcl_(LOC413288)
XM_006567985.3	LOC413288	XP_006568048.1	PREDICTED:_Apis_mellifera_polycomb_protein_Pcl_(LOC413288)
XM_006567986.3	LOC413288	XP_006568049.1	PREDICTED:_Apis_mellifera_polycomb_protein_Pcl_(LOC413288)
XM_006567987.3	LOC413288	XP_006568050.1	PREDICTED:_Apis_mellifera_polycomb_protein_Pcl_(LOC413288)
XM_006567988.3	LOC413289	XP_006568051.2	PREDICTED:_Apis_mellifera_neurogenic_locus_Notch_protein_(LOC413289),_mRNA
XM_006567992.3	LOC551826	XP_006568055.2	PREDICTED:_Apis_mellifera_bromodomain-containing_protein_2_(LOC551826)
XM_006567993.3	LOC551826	XP_006568056.2	PREDICTED:_Apis_mellifera_bromodomain-containing_protein_2_(LOC551826)
XM_006567995.3	LOC551826	XP_006568058.2	PREDICTED:_Apis_mellifera_bromodomain-containing_protein_2_(LOC551826)
XM_006567996.3	LOC551826	XP_006568059.2	PREDICTED:_Apis_mellifera_bromodomain-containing_protein_2_(LOC551826)
XM_006568007.3	LOC411459	XP_006568070.1	PREDICTED:_Apis_mellifera_sterol_regulatory_element-binding_protein_cleavage-activating_protein_(LOC411459)
XM_006568008.3	LOC411459	XP_006568071.1	PREDICTED:_Apis_mellifera_sterol_regulatory_element-binding_protein_cleavage-activating_protein_(LOC411459)
XM_006568009.3	LOC411459	XP_006568072.1	PREDICTED:_Apis_mellifera_sterol_regulatory_element-binding_protein_cleavage-activating_protein_(LOC411459)
XM_006568010.3	LOC411459	XP_006568073.1	PREDICTED:_Apis_mellifera_sterol_regulatory_element-binding_protein_cleavage-activating_protein_(LOC411459)
XM_006568011.3	LOC412655	XP_006568074.2	PREDICTED:_Apis_mellifera_uncharacterized_LOC412655_(LOC412655),_mRNA
XM_006568018.3	LOC409245	XP_006568081.1	PREDICTED:_Apis_mellifera_beta-1,4-glucuronyltransferase_1_(LOC409245)
XM_006568019.3	LOC412612	XP_006568082.2	PREDICTED:_Apis_mellifera_carbohydrate_sulfotransferase_4_(LOC412612)
XM_006568020.3	LOC412612	XP_006568083.2	PREDICTED:_Apis_mellifera_carbohydrate_sulfotransferase_4_(LOC412612)
XM_006568021.3	LOC410099	XP_006568084.2	PREDICTED:_Apis_mellifera_THO_complex_subunit_2_(LOC410099)
XM_006568022.3	LOC410099	XP_006568085.2	PREDICTED:_Apis_mellifera_THO_complex_subunit_2_(LOC410099)
XM_006568024.3	LOC552560	XP_006568087.1	PREDICTED:_Apis_mellifera_protein_phosphatase_1_regulatory_subunit_14C_(LOC552560)
XM_006568025.3	LOC552560	XP_006568088.1	PREDICTED:_Apis_mellifera_protein_phosphatase_1_regulatory_subunit_14C_(LOC552560)
XM_006568026.3	LOC552582	XP_006568089.1	PREDICTED:_Apis_mellifera_brahma-associated_protein_of_60_kDa_(LOC552582)
XM_006568027.3	LOC552582	XP_006568090.1	PREDICTED:_Apis_mellifera_brahma-associated_protein_of_60_kDa_(LOC552582)
XM_006568028.3	LOC552582	XP_006568091.1	PREDICTED:_Apis_mellifera_brahma-associated_protein_of_60_kDa_(LOC552582)
XM_006568029.3	LOC552582	XP_006568092.1	PREDICTED:_Apis_mellifera_brahma-associated_protein_of_60_kDa_(LOC552582)
XM_006568030.3	LOC408972	XP_006568093.2	PREDICTED:_Apis_mellifera_muscle-specific_protein_20_(LOC408972),_mRNA
XM_006568039.2	LOC550956	XP_006568102.1	PREDICTED:_Apis_mellifera_ATP-dependent_(S)-NAD(P)H-hydrate_dehydratase_(LOC550956)
XM_006568040.3	LOC550956	XP_006568103.1	PREDICTED:_Apis_mellifera_ATP-dependent_(S)-NAD(P)H-hydrate_dehydratase_(LOC550956)
XM_006568042.3	LOC409714	XP_006568105.2	PREDICTED:_Apis_mellifera_serine-rich_adhesin_for_platelets_(LOC409714)
XM_006568043.3	LOC412876	XP_006568106.1	PREDICTED:_Apis_mellifera_pyruvate_carboxylase,_mitochondrial_(LOC412876)
XM_006568044.3	LOC412876	XP_006568107.1	PREDICTED:_Apis_mellifera_pyruvate_carboxylase,_mitochondrial_(LOC412876)
XM_006568046.3	LOC100577322	XP_006568109.1	PREDICTED:_Apis_mellifera_cell_wall_integrity_and_stress_response_component_2_(LOC100577322),_mRNA
XM_006568047.3	LOC409736	XP_006568110.1	PREDICTED:_Apis_mellifera_methylmalonate-semialdehyde_dehydrogenase_[acylating]-like_protein_(LOC409736)
XM_006568051.3	LOC409736	XP_006568114.1	PREDICTED:_Apis_mellifera_methylmalonate-semialdehyde_dehydrogenase_[acylating]-like_protein_(LOC409736)
XM_006568053.3	Ecr	XP_006568116.2	PREDICTED:_Apis_mellifera_ecdysone_receptor_(Ecr)
XM_006568054.3	LOC408973	XP_006568117.1	PREDICTED:_Apis_mellifera_neprilysin-1_(LOC408973)
XM_006568055.3	LOC408973	XP_006568118.1	PREDICTED:_Apis_mellifera_neprilysin-1_(LOC408973)
XM_006568057.3	LOC100577889	XP_006568120.1	PREDICTED:_Apis_mellifera_uncharacterized_LOC100577889_(LOC100577889)
XM_006568058.3	LOC725263	XP_006568121.2	PREDICTED:_Apis_mellifera_tumor_protein_p53-inducible_nuclear_protein_2_(LOC725263)
XM_006568059.3	LOC725263	XP_006568122.1	PREDICTED:_Apis_mellifera_tumor_protein_p53-inducible_nuclear_protein_2_(LOC725263)
XM_006568060.3	LOC725263	XP_006568123.1	PREDICTED:_Apis_mellifera_tumor_protein_p53-inducible_nuclear_protein_2_(LOC725263)
XM_006568065.2	LOC413048	XP_006568128.2	PREDICTED:_Apis_mellifera_bifunctional_3'-phosphoadenosine_5'-phosphosulfate_synthase_2_(LOC413048)
XM_006568066.3	LOC413047	XP_006568129.2	PREDICTED:_Apis_mellifera_venom_carboxylesterase-6-like_(LOC413047),_mRNA
XM_006568067.3	LOC726240	XP_006568130.1	PREDICTED:_Apis_mellifera_globin-1_(LOC726240)
XM_006568069.3	LOC726240	XP_006568132.1	PREDICTED:_Apis_mellifera_globin-1_(LOC726240)
XM_006568070.3	LOC726240	XP_006568133.1	PREDICTED:_Apis_mellifera_globin-1_(LOC726240)
XM_006568071.3	LOC726240	XP_006568134.1	PREDICTED:_Apis_mellifera_globin-1_(LOC726240)
XM_006568072.3	LOC100578220	XP_006568135.2	PREDICTED:_Apis_mellifera_uncharacterized_LOC100578220_(LOC100578220)
XM_006568073.3	LOC100578220	XP_006568136.3	PREDICTED:_Apis_mellifera_uncharacterized_LOC100578220_(LOC100578220)
XM_006568074.3	LOC410078	XP_006568137.2	PREDICTED:_Apis_mellifera_echinoderm_microtubule-associated_protein-like_2_(LOC410078)
XM_006568075.3	LOC410078	XP_006568138.2	PREDICTED:_Apis_mellifera_echinoderm_microtubule-associated_protein-like_2_(LOC410078)
XM_006568077.3	LOC410078	XP_006568140.2	PREDICTED:_Apis_mellifera_echinoderm_microtubule-associated_protein-like_2_(LOC410078)
XM_006568078.3	LOC410078	XP_006568141.2	PREDICTED:_Apis_mellifera_echinoderm_microtubule-associated_protein-like_2_(LOC410078)
XM_006568079.3	LOC410078	XP_006568142.2	PREDICTED:_Apis_mellifera_echinoderm_microtubule-associated_protein-like_2_(LOC410078)
XM_006568080.3	LOC410078	XP_006568143.2	PREDICTED:_Apis_mellifera_echinoderm_microtubule-associated_protein-like_2_(LOC410078)
XM_006568094.3	LOC413468	XP_006568157.1	PREDICTED:_Apis_mellifera_potential_E3_ubiquitin-protein_ligase_ariadne-1_(LOC413468)
XM_006568096.3	LOC413468	XP_006568159.1	PREDICTED:_Apis_mellifera_potential_E3_ubiquitin-protein_ligase_ariadne-1_(LOC413468)
XM_006568098.3	LOC413467	XP_006568161.2	PREDICTED:_Apis_mellifera_serine/threonine-protein_kinase_ULK3_(LOC413467)
XM_006568099.3	LOC413467	XP_006568162.2	PREDICTED:_Apis_mellifera_serine/threonine-protein_kinase_ULK3_(LOC413467)
XM_006568100.3	LOC413467	XP_006568163.2	PREDICTED:_Apis_mellifera_serine/threonine-protein_kinase_ULK3_(LOC413467)
XM_006568101.3	LOC409606	XP_006568164.1	PREDICTED:_Apis_mellifera_uncharacterized_LOC409606_(LOC409606)
XM_006568102.3	LOC409606	XP_006568165.1	PREDICTED:_Apis_mellifera_uncharacterized_LOC409606_(LOC409606)
XM_006568103.3	LOC409606	XP_006568166.1	PREDICTED:_Apis_mellifera_uncharacterized_LOC409606_(LOC409606)
XM_006568105.3	LOC409924	XP_006568168.1	PREDICTED:_Apis_mellifera_synaptic_vesicle_glycoprotein_2B_(LOC409924)
XM_006568106.3	LOC551728	XP_006568169.1	PREDICTED:_Apis_mellifera_F-box/LRR-repeat_protein_20_(LOC551728)
XM_006568107.3	LOC409927	XP_006568170.1	PREDICTED:_Apis_mellifera_putative_pyridoxal-dependent_decarboxylase_domain-containing_protein_2_(LOC409927)
XM_006568108.3	LOC100576288	XP_006568171.1	PREDICTED:_Apis_mellifera_uncharacterized_LOC100576288_(LOC100576288)
XM_006568109.3	LOC551581	XP_006568172.2	PREDICTED:_Apis_mellifera_N-acetylgalactosamine_kinase_(LOC551581)
XM_006568110.3	LOC551581	XP_006568173.2	PREDICTED:_Apis_mellifera_N-acetylgalactosamine_kinase_(LOC551581)
XM_006568111.3	LOC551581	XP_006568174.2	PREDICTED:_Apis_mellifera_N-acetylgalactosamine_kinase_(LOC551581)
XM_006568112.3	LOC551581	XP_006568175.2	PREDICTED:_Apis_mellifera_N-acetylgalactosamine_kinase_(LOC551581)
XM_006568119.3	LOC412114	XP_006568182.1	PREDICTED:_Apis_mellifera_ubiquitin_carboxyl-terminal_hydrolase_35_(LOC412114),_mRNA
XM_006568123.3	LOC409340	XP_006568186.1	PREDICTED:_Apis_mellifera_UV_excision_repair_protein_RAD23_homolog_B_(LOC409340)
XM_006568124.3	LOC411573	XP_006568187.1	PREDICTED:_Apis_mellifera_cell_cycle_control_protein_50A_(LOC411573)
XM_006568126.3	LOC411573	XP_006568189.1	PREDICTED:_Apis_mellifera_cell_cycle_control_protein_50A_(LOC411573)
XM_006568128.2	LOC409113	XP_006568191.1	PREDICTED:_Apis_mellifera_guanine_nucleotide-binding_protein_subunit_beta-5_(LOC409113)
XM_006568129.2	LOC409113	XP_006568192.1	PREDICTED:_Apis_mellifera_guanine_nucleotide-binding_protein_subunit_beta-5_(LOC409113)
XM_006568130.3	LOC412588	XP_006568193.1	PREDICTED:_Apis_mellifera_tyrosine-protein_kinase_Src42A_(LOC412588)
XM_006568131.3	LOC412588	XP_006568194.1	PREDICTED:_Apis_mellifera_tyrosine-protein_kinase_Src42A_(LOC412588)
XM_006568132.3	LOC412588	XP_006568195.1	PREDICTED:_Apis_mellifera_tyrosine-protein_kinase_Src42A_(LOC412588)
XM_006568133.3	LOC412588	XP_006568196.1	PREDICTED:_Apis_mellifera_tyrosine-protein_kinase_Src42A_(LOC412588)
XM_006568135.3	LOC412588	XP_006568198.1	PREDICTED:_Apis_mellifera_tyrosine-protein_kinase_Src42A_(LOC412588)
XM_006568137.3	LOC410157	XP_006568200.1	PREDICTED:_Apis_mellifera_ras-related_protein_Rab-23_(LOC410157)
XM_006568138.3	LOC410157	XP_006568201.1	PREDICTED:_Apis_mellifera_ras-related_protein_Rab-23_(LOC410157)
XM_006568140.3	LOC412410	XP_006568203.1	PREDICTED:_Apis_mellifera_U3_small_nucleolar_RNA-associated_protein_6_homolog_(LOC412410)
XM_006568141.3	LOC727267	XP_006568204.1	PREDICTED:_Apis_mellifera_tektin-B1_(LOC727267)
